"Station.No","Location","Date","Hour","API","Pollutant"
19,"Kg. Air Putih, Taiping",2013-08-01,2,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,3,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,4,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,5,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,6,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,7,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,8,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,9,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,10,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,11,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,12,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,13,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,14,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,15,0,"0"
19,"Kg. Air Putih, Taiping",2013-08-01,16,0,"0"
19,"Kg. Air Putih, Taiping",2013-08-01,17,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,18,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,19,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,20,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,21,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,22,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,23,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-01,24,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,1,46,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,2,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,3,42,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,4,40,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,5,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,6,38,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,7,38,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,8,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,9,36,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,10,34,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,11,34,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,12,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,13,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,14,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,15,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,16,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,17,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,18,25,"c"
19,"Kg. Air Putih, Taiping",2013-08-02,19,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,20,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,21,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,22,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,23,19,"*"
19,"Kg. Air Putih, Taiping",2013-08-02,24,19,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,1,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,2,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,3,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,4,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,5,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,6,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,7,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,8,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,9,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,10,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,11,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,12,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,13,52,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,14,44,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,15,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,16,52,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,17,46,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,18,44,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,19,50,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,20,49,"c"
19,"Kg. Air Putih, Taiping",2013-08-03,21,33,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,22,36,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,23,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-03,24,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,1,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,2,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,3,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,4,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,5,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,6,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,7,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,8,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,9,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,10,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,11,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,12,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,13,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,14,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,15,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,16,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,17,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,18,60,"c"
19,"Kg. Air Putih, Taiping",2013-08-04,19,57,"c"
19,"Kg. Air Putih, Taiping",2013-08-04,20,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,21,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,22,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,23,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,24,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,1,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,2,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,3,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,4,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,5,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,6,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,7,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,8,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,9,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,10,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,11,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,12,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,13,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,14,42,"c"
